State_Index,Action_Stay,Action_Left,Action_Right
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,-29.69303947937201,-13.197681669338964,-29.58682755769104
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,-27.00332837606983,-7.28592776145551,-16.598408552954638
6,-50.12287500191573,-9.7148981067739,-55.24205145325301
7,-10.84687405432189,-49.57965773332698,-21.433928463449764
8,-70.2757986272384,-70.29618120752134,-70.2428579894742
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,-36.70537749222892,-27.616992274644204,-17.84193366782006
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,-29.461941744173437,-21.92829712775557,-13.126847595673608
15,-9.105945480791082,-13.566229587789717,-54.89620166510743
16,-8.018274071368785,-12.728490591925668,-54.36750160676296
17,-10.581658271762926,-15.613992289823655,-46.24698489280093
